0THAI|ТАЙСЬКА
NEW SESSION|НОВА СЕСІЯ
Spears Hit:|Влучання списами:
Rain Timer:|Таймер дощу
No wildlife|Без істот
Level Food:|Їжа рівня:
Allow exit:|Умова виходу:
Early Rain:|Ранній дощ:
SCREEN SIZE|РОЗМІР ЕКРАНУ
Slug Senses|Чуття слимакотів
...leave...|...йди...
This again.|Знову це.
And...back.|І... повернувся.
Back again.|Знову повернувся.
Here again.|Знову тут.
I...said...|я... казала...
Migration|Міграція
Messenger|Посланець
The Cycle|Цикл
The Nomad|Кочівник
Outskirts|Околиці
Shoreline|Узбережжя
Underhang|Підвіс
The Saint|Святий
Ascension|Вознесіння
SAVE SLOT|СЛОТ ЗБЕРЕЖЕННЯ
vibration|Вібрація
Connected|Підключено
Wildlife:|Істоти:
Spear hit|Влучання
GAME OVER|ГРУ ЗАВЕРШЕНО
Clear all|Очистити все
? Confirm|? Підтвердити
NEXT PAGE|НАСТУПНА СТОРІНКА
Next Page|Наступна сторінка
CONFIGURE|КОНФІГУРУВАТИ
Author(s)|Автор(и)
VIEW EULA|ПЕРЕГЛЯНУТИ EULA
Uploading|Вивантажується
A neuron.|Нейрон.
tormentor|мучителю
An Old Friend|Старий Друг
Memory Crypts|Склепи Пам'яті
The Chieftain|Отаман
Music volume:|Гучність музики:
Sound Effects|Звукові ефекти
Pick up / Eat|Взяти / Їсти
INPUT PRESETS|ЗА ЗАМОВЧУВАННЯМ
Next gametype|Наступний режим гри
ROUND SESSION|РАУНД ЗА СЕСІЮ
Approximately|Приблизно
Press to join|Натисніть, щоб приєднатися
Repeat Rooms:|Повторів рівнів:
High wildlife|Багато істот
for surviving|за успішне виживання
per spear hit|за влучання списами
Configuration|Конфігурація
HOLD TO START|УТРИМУЙТЕ, ЩОБ РОЗПОЧАТИ
REGION SELECT|ОБРАТИ РЕГІОН
Fetching Data|Отримання Даних
PREVIOUS PAGE|ПОПЕРЕДНЯ СТОРІНКА
Previous Page|Попередня сторінка
Accessibility|Пристосування
Hunter Cycles|Цикли Мисливця
Wall pouncing|Відскакування від стін
devtools-name|Інструменти розробників
Thank... you.|Дякую... тобі.
What is that?|Що це?
Another gift?|Ще один подарунок?
...thank you.|...дякую.
And...listen!|І... послухай!
Little friend|Маленький друже
archaeologist|археологу
The consequences of your journey have caught up with you|Наслідки вашої подорожі наздогнали вас
You encountered the echo of A Bell, Eighteen Amber Beads|Ви зустріли відлуння Дзвоника, Вісімнадцяти Бурштинових Намистин
You encountered the echo of Two Sprouts, Twelve Brackets|Ви зустріли відлуння Краплин на П'ятьох Великих Краплинах
Press and hold, then use up/down to adjust score awarded|Натисніть та утримуйте, після чого користуйся клавішами вгору/вниз для налаштування отримуваних балів
You must update the application to use network features.|Для використання мережевих функцій необхідно оновити застосунок.
The presets below can be used to quickly reset settings.|Опції нижче можуть бути використані, щоб швидко<LINE>повернути всі налаштування до значень за замовчуванням.
RELAXED preset is a significant reduction in difficulty.|НЕВИМУШЕНИЙ режим — значне зниження складності.
This option may actually make Rivulet's campaign harder.|Ця опція насправді може зробити кампанію Струмка важчою. 
The scavengers must be jealous of you, finding all these|Напевно, сміттярі заздрять тобі, що ти їх усі знаходиш.
You completed every expedition laid before you.|Ви виконали всі експедиції, що постали перед вами.
Something lurks in a flourishing outcropping...|Щось чатує у квітучих чагарниках...
Additional food (above three) is kept for later|Надлишок їжі (більше трьох) відкладається на потім
Hold down to wipe your save slot and start over|Утримуйте, щоб стерти слот збереження і почати спочатку.
You are starving. Your game has not been saved.|Ви голодуєте. Вашу гру не було збережено.
Are you sure you want to disable this mechanic?|Чи ви точно впевнені, що хочете вимкнути цю механіку?
You must accept the End User License Agreement.|Ви повинні прийняти Ліцензійну угоду з кінцевим користувачем (EULA).
You're leaving yet again. This time, stay away.|І ти вкотре йдеш. Цього разу, не повертайся.
Listened to the conflation of echoes|Ви послухали злиття відлунь 
Nineteen Spades, Endless Reflections|Дев'ятнадцять Пік, Нескінченні Роздуми
Game Over - Press OPTIONS to restart|Гру закінчено ― натисніть клавішу НАЛАШТУВАННЯ для перезапуску.
switch_controls_singlejoyconl_pickup|Клавіша «Вліво»
switch_controls_singlejoyconr_pickup|Клавіша B
Creatures are vicious and aggressive|Істоти жорстокі та агресивні
switch_single_joycon_region_map_help|Натисніть SR, щоб переглянути регіональну мапу
JUMP/THROW buttons - Switch layers_1|Клавіші СТРИБНУТИ/КИНУТИ — Змінити прошарок
JUMP/THROW buttons - Switch layers_2|Клавіша «Хрест»/«Коло» — Змінити прошарок
JUMP/THROW buttons - Switch layers_3|Клавіша B/A — Змінити прошарок
JUMP/THROW buttons - Switch layers_4|Клавіша ВНИЗ/ВПРАВО — Змінити прошарок
JUMP/THROW buttons - Switch layers_5|Клавіша A/X — Змінити прошарок
Title is offline or is disconnected.|Гра не працює в режимі офлайн або відключена.
OpKeyBinder_NonMouseJoystickBindTuto|Натисніть клавішу, щоб прив'язати (ПАУЗА, щоб відв'язати, CTRL + Num, щоб встановити номер контролеру)
ConfigContainer_AlertCopyNoncosmetic|Скопійовано <Text> до буферу обміну з <ObjectName>
ConfigMenuTab_RevertHoldButton_Label|СКАСУВАТИ
MenuModList_ModButton_RainWorldDummy|Представляє базову гру Rain World, яка завантажується спочатку, перед усіма вищезазначеними модифікаціями.
Are you sure you want to view these?|Чи ви точно хочете їх побачити?
Yes, you're welcome to have it back.|Так, будь ласка, забирай це собі.
Oh, leaving. Please don't come back.|А, ти йдеш. Будь ласка, не повертайся.
Something lurks at the highest reaches of the world...|Щось чатує на найвищих вершинах світу...
Assign player <X> to the default XBox controller setup|Призначити гравцю <X> налаштування контролера XBox за замовчуванням
Select which levels to play<LINE>in the level selector|Оберіть рівні для гри<LINE>в меню рівнів
Shows a visual pulse on screen when threats are nearby|Показує візуальну пульсацію на екрані, коли поблизу загрози
All lizard breeds have unique sound effects and voices|Усі різновиди ящерів мають унікальні звукові ефекти і голоси
(Normally requires completing Gourmand's food tracker)|(Зазвичай потребує заповнення харчового лічильника Гурмана)
Mod's thumbnail image should have a 16:9 aspect ratio.|Мініатюра мода має мати пропорції 16:9.
If you eat it or leave with it, I will die. I beg you.|Якщо ти з'їси його, або забереш із собою, я помру. Благаю.
Oh, I have already read this one to you, <PlayerName>.|О, цю я вже тобі читала, <PlayerName>.
Complete the game as The Survivor or as The Monk|Пройдіть гру за Вцілілого або за Ченця
ConfigMenuTab_ModPercentageButton_MouseEnableAll|Клацніть, щоб увімкнути всі моди
MenuModList_ModButton_NonMouse_Configure_Console|Натисніть СТРИБАТИ, щоб конфігурувати, натисніть ВЛІВО, щоб перейти до клавіші перемикання цих вмістів
Access was denied. Do you own the game on Steam?|Доступ було відхилено. Ви володієте грою в Steam?
This one I've already read to you, <PlayerName>.|Оцю тобі я вже читала, <PlayerName>.
Complete the game as The Hunter|Пройдіть гру за Мисливця
Your travels have taken you far|Ваші подорожі завели вас далеко
You have left this world behind|Ви залишили цей світ позаду
ConfigMenuTab_ApplyButton_Label|ЗАСТОСУВАТИ
ConfigMenuTab_RevertButton_Desc|Повернутися до списку модів
ConfigMenuTab_ResetButton_Label|СКИНУТИ
MenuModList_ModButton_Configure|Конфігурувати <Mod>
MenuModList_ListButton_ScrollUp|Натисніть та утримуйте мишею, щоб прогортати список модів вгору
MenuModList_ListButton_ScrollDw|Натисніть та утримуйте мишею, щоб прогортати список модів вниз
MenuModList_ListButton_Collapse|Згорніть, щоб сховати мініатюри у списку модів
Connector_ChangeActiveTab_Alert|Поточну активну вкладку було перемкнено на вкладку <TabName>
Connector_ChangeActiveMod_Alert|Поточний відображений мод змінено на мод <ModName>
Enable the wall pounce mechanic|Вмикає механіку відскакування від стін
ps4_expedition_slot_description|Дані збереження Експедиції Rain World
ps4_expedition_core_description|Основні дані Експедиції Rain World
ps4_save_expedition_core_failed|Помилка при зберіганні основних даних Експедиції.
ps4_load_expedition_core_failed|Основні дані збереження Експедиції пошкоджені і будуть видалені.
It's you, <PlayerName>!  Hello!|Це ти, <PlayerName>! Привіт!
You... Strange thing. Now this?|Ти... Дивна істото. А тепер це?
Oh, what is that, <PlayerName>?|О, що це, <PlayerName>?
You would like me to read this?|Хочеш, щоб я її прочитала?
Find the canonical ending to The Gourmand's campaign|Знайдіть канонічну кінцівку кампанії Гурмана
Find a destination for The Hunter's starting payload|Знайдіть призначення грузові Мисливця
ConfigMenuTab_ModPercentageButton_NonMouseDisableAll|Натисніть ПІДТВЕРДИТИ, щоб вимкнути всі моди
Pause the rain timer while dialog is being displayed|Призупиняє таймер дощу, поки відображається діалог
Discourages Snails from idling inside pipe entrances|Знеохочує байдикування Равликів поруч з входами труб
It is recommended to use this only as a last resort.|Рекомендується користатися цим тільки в крайньому разі.
I don't know what to say. Never come back, creature!|Не знаю навіть, що й сказати. Ніколи сюди не повертайся, істото!
Little creature, why don't you stay calm and listen?|Маленька істото, чому б тобі не залишитися й не послухати?
Find the canonical ending to The Rivulet's campaign|Знайдіть канонічну кінцівку кампанії Струмка
Dropping food in the water might attract creatures.|Кидання їжі в воду може привабити істот.
ConfigMenuTab_ModPercentageButton_NonMouseEnableAll|Натисніть ПІДТВЕРДИТИ, щоб увімкнути всі моди
Cannot update mod with no pre-existing workshop ID.|Не можна оновити мод без вже існуючого ID Майстерні
There is nothing here. Not even my memories remain.|Тут нічого немає. Навіть моїх спогадів не залишилося...
Something new you want me to look at, <PlayerName>?|Ще щось новеньке, що тебе цікавить, <PlayerName>?
It's a bit dusty, but I will do my best. Hold on...|Вона трішки запилилася, але я спробую. Почекай-но...
Now if you'll let me, I will try to say this again.|А тепер, якщо дозволиш, спробую сказати це знову.
It's a rock. Thank you, I suppose, little creature.|Це камінь. Дякую, мабуть, маленька істото.
objecttype-Rock|Камінь
Drainage System|Дренажна Система
History lessons|Уроки історії
Change language|Змінити мову
Bind <X> button|Прив'язати клавішу <X>
Back to options|Назад до налаштувань
round per level|раунд на рівень
Medium wildlife|Середньо істот
SESSION RESULTS|РЕЗУЛЬТАТИ СЕСІЇ
Finding Changes|Пошук змін
Fast map reveal|Швидше розкриття мапи
Extra tutorials|Додаткові підказки
Easier dropwigs|Легші падовійки
Quality of Life|Покращення ігроладу
Unlock Slugpups|Розблокувати Слимакошенят
expedition-name|Експедиція
Leave me alone!|Дай мені спокій!
Please stop it!|Будь ласка, годі!
Little creature|Маленький звіре
Prevents falling off from poles when throwing objects|Запобігає падінню з жердин під час кидання предметів
Swim boosting will not consume additional breath time|Підводні прискорення не споживатимуть додаткового часу дихання
Removes visual effects that cause the screen to shake|Прибирає візуальні ефекти, що викликають дрижання екрану
Are you sure you want to disable ALL karma mechanics?|Чи ви впевнені, що хочете вимкнути ВСІ кармічні вимоги?
Mod's thumbnail image must be less than 1 MB in size.|Мініатюра мода має бути меншою за мегабайт у розмірі.
Your account is locked or has a community or VAC ban.|Обліковий запис заблокований або має бан VAC або спільноти.
The workshop service is unavailable. Try again later.|Послуги Майстерні недоступні. Спробуйте пізніше.
Yet another gift? You're quite curious, <PlayerName>!|Ще один подарунок? А ти досить допитливий, <PlayerName>!
A nimble omnivore, both predator and prey. Lost in a harsh and indifferent<LINE>land you must make your own way, with wit and caution as your greatest assets.|Спритний всеїдний звір, водночас і хижак, і здобич. Загубившись у<LINE>суворих і байдужих краях, ти маєш прокласти свій власний шлях,<LINE>з кмітливістю й обачністю – твоїми найголовнішими перевагами.
Weak of body but strong of spirit. In tune with the mysteries of the world and<LINE>empathetic to its creatures, your journey will be a significantly more peaceful one.|Слабкий тілом, проте сильний духом. У злагоді з таємницями світу та<LINE>співчуттям до його мешканців, твоя мандрівка буде значно спокійнішою.
Strong and quick, with a fierce metabolism requiring a steady diet of meat. But the<LINE>stomach wont be your only concern, as the path of the hunter is one of extreme peril.|Міцний та спритний, з шаленим метаболізмом, котрий вимагає м'яса. Та шлунок<LINE>буде не єдиною твоєю турботою, адже шлях мисливця – шлях надзвичайних небезпек.
Five Pebbles (Unfortunate Development)|П'ять Гальок (Невдала Розробка)
Six Grains of Gravel, Mountains Abound|Шість Зерен Гравію, Рясні Гори
Jump and grab them. They're delicious!|Підстрибніть та схопіть їх. Вони смачні!
Takes input from any connected gamepad|Приймає введення з будь-якого пристрою
switch_controls_singlejoyconl_movement|Лівий джойстик
switch_controls_singlejoyconr_movement|Правий джойстик
Unlock all the Trophies in Rain World!|Розблокуйте всі Трофеї в Rain World!
MenuModList_ModButton_Disable_NonMouse|Натисніть ПІДТВЕРДИТИ, щоб вимкнути ці вмісти, скористайтеся джойстиком, утримуючи ВПРАВО, щоб змінити чергу завантаження
MenuModList_ModButton_NonMouse_Display|Натисніть ПІДТВЕРДИТИ, щоб показати <Mod>
ConfigTabController_TabScrollButton_Up|Натисніть та утримуйте мишею, щоб прогортати список угору
ConfigTabController_TabScrollButton_Dw|Натисніть та утримуйте мишею, щоб прогортати список униз
The following cheats contain spoilers.|Наступні чити містять спойлери.
Mod uploaded with Unlisted visibility.|Мод вивантажено з Невидимим статусом.
Ah... <PlayerName>, you're here again!|А... <PlayerName>, ти знову тут!
Ah... <PlayerName>, you're here again.|А... <PlayerName>, ти знову тут.
I must ask you... Don't do that again.|Будь ласка... Не роби цього знову.
Rain... You better go. I will be fine.|Дощ... Тобі краще йти. Зі мною все буде добре.
<CapPlayerName>... Please settle down.|<CapPlayerName>... Будь ласка, вгамуйся.
Yes, there you go. This is ridiculous.|Ага, от і все. Це просто смішно.
Five Pebbles (Recursive Transform Array)|П'ять Гальок (Рекурсивний Масив Трансформації)
You need to eat meat to sustain yourself|Вам треба харчуватися м'ясом, щоб вижити
Default singleplayer<LINE>keyboard setup|Стандартні налаштування<LINE>клавіатури для одиночної гри
OpKeyBinder_ErrorConflictOtherModDefault|Клавіша за замовчуванням конфліктує з <ModID>
MenuModList_ModButton_NonMouse_Configure|Натисніть ПІДТВЕРДИТИ, щоб конфігурувати <Mod>
You are not currently logged into Steam.|Ви не ввійшли в Steam.
Yes, help yourself. They are not edible.|Авжеж, пригощайся. Вони не їстівні.
This pearl has been written to just now!|Вміст цієї перлини нещодавно було змінено!
You encountered the echo of Droplets upon Five Large Droplets|Ви зустріли відлуння Двох Паростків, Дванадцяти Підпор
Press while holding down direction (crouching) to drop object|Натисніть, утримуючи вниз (присідаючи), аби впустити предмет
You must activate this mod before attempting to configure it.|Необхідно спочатку активувати цей мод, перш ніж його конфігурувати.
I won't tolerate this. Leave immediately and don't come back.|Я цього не терпітиму. Негайно забирайся звідси й не повертайся.
As you can see, I have nothing for you. Not even my memories.|Як бачиш, мені нема чого тобі запропонувати. Навіть своїх спогадів.
Here we go again, little archeologist. Let's read your pearl.|І ось знову, маленький археолог. Нумо прочитаймо твою перлину.
You encountered the echo of Four Needles under Plentiful Leaves|Ви зустріли відлуння Чотирьох Голок під Рясним Листям
Show a visual indicator on the UI of your remaining breath time|Показує візуальний лічильник часу дихання, який залишився, на користувацькому інтерфейсі
Lizards can pull embedded spears out of walls with their tongue|Ящери можуть витягувати встромлені списи зі стін своїм язиком
Failed to acquire User Generated Content lock. Try again later.|Не вдалося отримати блокування контенту користувача. Спробуйте пізніше.
You encountered the echo of Nineteen Spades, Endless Reflections|Ви зустріли відлуння Дев'ятнадцяти Пік, Нескінченних Роздумів
Warning, too many creatures may result in poor game performance.|Увага, забагато істот можуть погіршити працездатність гри.
Reduces the amount of time taken to get started with a new cycle|Зменшує кількість часу, яку займає початок нового циклу
One of your workshop mods already has the same name as this one.|Один з ваших модів у Майстерні вже має ту саму назву, що й цей.
I appreciate what you have done but it is time for you to leave.|Ціную те, що ти зробив, але тобі вже час рушати.
Let us see... to be honest, I'm as curious to see it as you are.|Нумо подивимося... чесно кажучи, мені й самій цікаво на неї поглянути.
You encountered the echo of Six Grains of Gravel, Mountains Abound|Ви зустріли відлуння Шести Зерен Гравію, Рясних Гір
You must apply new mods setup before attempting to configure them.|Необхідно спочатку застосувати зміни в списку модів, перш ніж намагатися їх конфігурувати.
Stops Hunter from automatically grabbing batflies with a free hand|Заважає Мисливцеві автоматично хапати кажанів вільними руками
Increases the radius of Monk's hologram light in pitch-black areas|Збільшує радіус підсвічувальної голограми Ченця в непроглядній темряві.
Prevents the chance of waking up early before the rain has stopped|Прибирає можливість прокидатися завчасно до кінця дощу
(Normally requires finding Red unlock tokens in the campaign maps)|(Зазвичай потребує знаходження червоних розблокувальних токенів у мапах кампаній)
<CapPlayerName>, if you do that, I will not speak to you any more.|<CapPlayerName>, якщо ти це зробиш, я більше з тобою не розмовлятиму.
The highest enlightenment, achieved by the hardest path. A feat even the guardians must respect.|Найвище просвітлення, досягнуте найважчим шляхом. Подвиг, що мають поважати навіть вартові.
Standard Remix settings. Many mechanical tweaks that may mix up the way the game is experienced.|Звичайні налаштування. Чимало механічних змін, що можуть урізноманітнити досвід гри.
When crouching, hold the JUMP button without giving any other input|Присівши, утримуйте клавішу СТРИБОК, не натискаючи жодних інших клавіш
Allow players to exit when rain is close or only one player is left|Дозволяє гравцям втекти, якщо наближається дощ, або якщо залишається тільки один гравець.
Reduces the overall speed of the game to assist with reaction times|Сповільнює швидкість гри, щоб допомогти зі швидкістю реакції
(Normally requires finding Blue unlock tokens in the campaign maps)|(Зазвичай потребує знаходження блакитних розблокувальних токенів у мапах кампаній)
??????????????????????????????????????????????????????????????????™|??????????????????????????????????????????????????????????????????™
Something new you want me to look at,<LINE>I suppose, <PlayerName>?|Припускаю, це ще щось новеньке,<LINE>що тебе цікавить, <PlayerName>?
This creature is dehydrated. You can carry it back to water.|Ця істота зневоднена. Ви можете перенести її назад до води.
Prevent injured creatures from fleeing to dens in arena mode|Запобігає втечі поранених істот до притулків у режимі арени
Increases the amount of underwater breath time that Monk has|Збільшує тривалість підводного дихання, яку має Чернець.
(Normally requires completing all Challenge Mode challenges)|(Зазвичай потребує проходження всіх випробовувань режиму Випробовувань)
Best of luck to you, little creature. I must resume my work.|Щасти тобі, маленька істото. Я мушу продовжувати свою працю.
Never do that again. Or just kill me quickly. Whichever way.|Ніколи більше так не роби. Або ж вбий мене швидко. Як тобі завгодно.
I think we have already talked about this one, <PlayerName>.|Думаю, ми про цю вже розмовляли, <PlayerName>.
Larger prey needs to be incapacitated first|Більшу здобич потрібно спочатку знешкодити 
Little creature. This is your last warning.|Маленька істото. Це — твоє останнє попередження.
Please don't... take... more from me... Go.|Благаю, не... забирай... більше в мене... Йди...
And yet another one! I will read it to you.|І ще одна! Я її тобі прочитаю.
I've told you about this one, <PlayerName>.|Я вже тобі про цю розповідала, <PlayerName>.
And now you expect me to continue speaking?|А тепер ти очікуєш, що я продовжу розмовляти?
It's a delicious plant. You should have it!|Це смачна рослина. Візьми, скуштуй!
It is possible to hibernate with less than sufficient food|Можна впасти у сплячку з нестачею їжі
It is not recommended to use these on a first playthrough.|Не рекомендується користуватися ними під час перших проходжень.
This mod already exists on the workshop by another author.|Цей мод уже був викладений в Майстерні іншим автором.
Release that, and leave. I will not speak to you any more.|Відпусти його й іди звідси. Надалі я з тобою не розмовлятиму.
Thank you... That is a little better. Thank you, creature.|Дякую... Так трішки краще. Дякую тобі, істото.
In a shelter, hold DOWN for several seconds to force hibernate|У притулку втримуйте ВНИЗ декілька секунд, аби примусово заснути
Multiplies the total duration of the rain timer by this amount|Помножує загальну тривалість зворотнього відліку дощу цим числом
The rain timer makes a tick-tock noise while the UI is visible|Відлік дощу цокає, коли відображається користувацький інтерфейс
Vultures that appear in dark rooms are cloaked by the darkness|Стерв'ятники, що з'являються в темних кімнатах, приховані темрявою
Press CONTINUE after accepting the End User License Agreement.|Натисніть ПРОДОВЖИТИ після прийняття Ліцензійної угоди з кінцевим користувачем.
Press CONTINUE to view and/or edit your uploaded workshop mod.|Натисніть ПРОДОВЖИТИ, щоб переглянути та/або редагувати вивантажений мод Майстерні.
WARNING!<LINE>This will reset all progress in the selected save slot,<LINE>including map exploration. Unlocked arenas and<LINE>sandbox items are retained.|УВАГА! <LINE>Це скине весь прогрес вибраного слоту збереження,<LINE>включно з дослідженням мапи. Розблоковані арени та <LINE> елементи Пісочниці буде збережено.
WARNING!<LINE>This will reset all of your progress except map exploration.|УВАГА!<LINE>Це скине весь ваш прогрес, окрім дослідження мапи.
WARNING! Too many creatures may result in bad game performance or crashes.|УВАГА! Забагато істот можуть погіршити працездатність гри, або навіть викликати збої.
Please log in to STOVE Client with the account that has purchased the game|Будь ласка, увійдіть до STOVE Client з облікового запису, на якому куплена гра.
Gives the player the ability to dislodge spears that are embedded in walls|Дає гравцеві здатність витягувати встромлені списи зі стін
(One time use) Fast travel to any discovered shelter, recovering all karma|(Одноразове) Миттєво опиніться в будь-якому дослідженому притулку, з відновленням усієї карми
Show information on loading screens that helps verify settings used and the legitimacy of runs.|Показує інформацію на екранах завантаження, що допомагає верифікувати використовувані налаштуваня та легітимізувати спідрани.
Give a grace period on cycle start and region entry before scavenger kill squads can attack you|Надає пільговий час на початку цикла, перш ніж вбивчі зграї сміттярів зможуть вас атакувати
Advantageous glitches and speedrunner exploits are made available to use again with this option|Цією опцією знов стають доступними сприятливі глюки і спідранерські експлойти
Similar to the original Rain World experience, but with a few quality of life settings enabled.|Схожий на первісний досвід Rain World, але з деякими ввімкненими поліпшеннями якості життя.
Map|Мапа
Esc|Esc
Yes|Так
YES|ТАК
HUD|Інтерфейс
run|біжи
Up|Вгору
R1|R1
RB|RB
ok|ОК
No|Ні
NO|НІ
Assign player <X> to the default keyboard controls|Призначити гравцю <X> керування клавіатурою за замовчуванням
Increase the speed that the minimap reveals itself|Підвищує швидкість, з якою розкривається мапа
(Normally requires completing Gourmand's campaign)|(Зазвичай потребує проходження кампанії Гурмана)
This menu contains cheats to unlock content early.|Це меню містить чити для розблокування контенту заздалегідь.
What are you? If I had my memories I would know...|Що ти таке? Мала б я свої спогади, то знала б...
If you behave like this, why should I talk to you?|Чому я маю з тобою розмовляти, якщо ти так зі мною поводишся?
Paused - Warning! Quitting after 30 seconds into a cycle counts as a loss|Призупинено ― Увага! Вихід з циклу після більш ніж 30 секунд вважається програшем.
By comparison, the RELAXED preset may weaken the overall game experience.|НЕВИМУШЕНИЙ режим може послабити загальний досвід гри, порівняно з іншими.
(Normally requires completing campaigns and clearing previous challenges)|(Зазвичай потребує проходження кампаній і попередніх випробувань)
Shelter failures give periodic reprieves by providing longer cycle times.|Збої притулків дають періодичні відстрочки завдяки подовженій тривалості циклів.
Paused - Warning! Quitting without saving in a shelter will permanently end your game|Призупинено ― Увага! Вихід без збереження в притулку остаточно завершить вашу гру.
For all campaigns, gates will remain open permanently after passing through them once|У всіх кампаніях брами назавжди залишаться відчиненими після першого проходження крізь них.
Spearing a scavenger directly in their head will do significantly more damage to them|Влучання в голови Сміттярів завдаватимуть набагато більше шкоди
The maximum number of subsequent explosion actions Artificer can perform before dying|Максимальна кількість вибухів, які поспіль може виконати Технік, перш ніж померти.
Limit exceeded. You may need to reduce the filesize or remove prior workshop content.|Перевищено ліміт. Можливо потрібно зменшити розмір файлу або прибрати попередній контент Майстерні.
A little animal, on the floor of my chamber. I think I know what you are looking for.|Крихітна тварино на підлозі моєї камери. Думаю, я знаю, що ти шукаєш.
Really exit? Note that quitting after 30 seconds into a cycle counts as a loss.|Справді вийти? Зауважте, вихід після 30 секунд циклу вважається програшем.
You get these at Five Pebbles'?<LINE>Thank you so much. I'm sure he won't mind.|Ти їх береш у П'яти Гальок?<LINE>Превелике тобі дякую. Впевнена, йому на те все одно.
Create custom scenarios using levels, items and creatures<LINE>that have been unlocked in the single player campaigns.<LINE>Defeating creatures or other actions can be set to award points,<LINE>but Sandbox is mostly about customization and fun!|Створюйте власні сценарії, використовуючи рівні, предмети та<LINE>створінь, які були розблоковані в кампаніях одиночної гри.<LINE>Перемога над істотами або інші дії можуть бути налаштовані на нараховування<LINE>балів, проте Пісочниця — насамперед про підлаштовування та веселощі!
For you though, there is another way. The old path. Go to the west past the Farm Arrays, and then down into the earth<LINE>where the land fissures, as deep as you can reach, where the ancients built their temples and danced their silly rituals.|Однак, у тебе є інший засіб. Старий шлях. Рушай на захід, повз Фермерські Масиви, а потім донизу, туди,<LINE>де розколюється земля, якомога глибше, де стародавні зводили свої храми й святкували свої кумедні ритуали.
Compete in a battle against each other and the elements.<LINE>In this mode points are awarded for food items consumed,<LINE>with surviving players always ranking above dead players.<LINE>New levels, items and creatures can be unlocked in the<LINE>single player campaigns.|Змагайтеся в сутичках один з одним та зі стихіями.<LINE>У цьому режимі бали нараховуються за спожиту їжу,<LINE>а рейтинг вцілілих гравців завжди буде вищий за загиблих.<LINE>Нові рівні, предмети та створінь можна розблокувати<LINE>в одиночних кампаніях.
No items except what you place in the editor|Немає предметів, крім тих, що були поміщені в редакторі
Allow players above a specific score to exit|Дозволяє втекти гравцям з певним рахунком
MenuModList_ModButton_NonMouse_Blank_Console|Натисніть ВЛІВО, щоб перейти до клавіші перемикання цих вмістів
ConfigTabController_TabSelectButton_NamedTab|Перейти до вкладки <TabName>
This mod cannot be uploaded to the Workshop.|Мод не можна вивантажити до Майстерні.
It's still warm... this was in use recently.|А вона ще тепла... нею нещодавно користалися.
W|В
L|П
Press the MAP button to select the shelter you wish to continue from|Натисніть клавішу МАПА, щоб обрати притулок, з якого хочете продовжити
These are recommended starting points based on different playstyles.|Це — рекомендовані, заздалегідь встановлені опції, засновані на різних стилях гри.
It also largely negates the game's difficulty curve and progression.|Вона також нівелює криву складності та прогресу гри.
(Normally requires finding Green unlock tokens in the campaign maps)|(Зазвичай потребує знаходження зелених розблокувальних токенів у мапах кампаній)
“Go west, past the Farm Arrays and then down deep into the earth...”|«Рушай на захід, повз Фермерські Масиви, а потім донизу...»
Please sign in to PlayStation™Network to view leaderboards.|Будь ласка, увійди до PlayStation™Network для перегляду рейтингів.
Progress towards Trophies will only be tracked for player 1|Прогрес Трофеїв відстежуватиметься тільки для гравця 1
This may SIGNIFICANTLY alter your experience with the game.|Це може СУТТЄВО вплинути на ваш досвід гри.
(Normally requires completing previous campaigns to unlock)|(Зазвичай потребує проходження минулих кампаній для розблокування)
Stop doing... this, or I... will not speak... to you again.|Припини так... робити, або я... більше не розмовлятиму... з тобою.
You have been signed out from PlayStation™Network. Please connect to PlayStation™Network to view Leaderboards.|Ви вийшли з облікового запису PlayStation™Network. Будь ласка, під'єднайтеся до PlayStation™Network щоб переглядати рейтинги.
Items that typically attach to the terrain with a stem will spawn with their stems when placed in Sandbox mode|Предмети, які зазвичай прикріплюються до місцевості стеблами, з'являтимуться зі своїми стеблами у режимі Пісочниці
... You're getting quite good at this you know. A little archeologist beast.<LINE>Now, let's see what it says.|... А знаєш? Ти вже стаєш досить вправним у цьому, маленький звіре-археологу.<LINE>А тепер, нумо подивимося, про що тут йде мова.
ConfigMenuTab_ModPercentageButton_MouseDisableAll|Клацніть, щоб вимкнути всі моди
This mod does not have any configurable settings.|Цей мод не має власного інтерфейса або конфігурацій Remix.
Thank you little creature. I must resume my work.|Дякую, маленька істото. Я мушу повертатися до своєї праці.
Thank you. I must ask you... Don't do that again.|Дякую. Будь ласка... Не роби цього знову.
Periodically shows tips and tutorials during the loading screen between cycles|Періодично показує підказки та поради під час екрану завантаження між циклами.
Adds an additional trajectory of throwing grenades if the up direction is held|Надає додаткову траекторію кидання гранат, якщо утримується клавіша вгору
Introduces a few additional in-game tutorial messages for certain mechanics and scenarios|Запроваджує декілька додаткових внутрішньоігрових порад щодо певних механік і сценаріїв
All cycles will have the same duration, and will always use the longest duration possible|Усі цикли матимуть ту саму тривалість і завжди будуть якнайдовшими
You should try the 'Monk-style Gates' option first before resorting to using this option.|Спочатку варто спробувати опцію «Брами Ченця в інших кампаніях», перш ніж вдаватися до цієї.
